o,d,f
03ZM,02ZM,266
040A,043A,109
040A,052A,101
040M,082M,326
041B,043B,125
041B,053B,236
041M,029M,100
041S,032S,319
041S,036S,239
041S,114S,195
041V,044V,140
041V,159V,205
042A,033A,121
042M,026M,166
042S,048S,103
042S,063S,261
042S,068S,273
043A,014A,161
043B,040B,102
043B,041B,119
043B,053B,233
043M,066M,661
043S,016S,254
044S,024S,396
044S,045S,473
044S,047S,447
044S,048S,107
044V,041V,116
045A,048A,344
045M,039M,119
045M,072M,279
045M,098M,563
045S,024S,105
045S,044S,255
045S,046S,374
045S,047S,526
045S,048S,345
046A,048A,123
046B,068B,105
046B,081B,236
046B,093B,163
046S,045S,468
046S,047S,525
046S,048S,437
046V,077V,437
046V,080V,336
046V,098V,507
046V,121V,279
046V,140V,182
047A,032A,119
047A,060A,428
047A,096A,134
047A,106A,200
047B,082B,336
047B,138B,101
047M,029M,120
047S,024S,471
047S,044S,219
047S,045S,456
047S,046S,327
047S,048S,939
047V,019V,179
047V,083V,189
047V,135V,199
048A,025A,400
048A,045A,404
048A,046A,115
048B,070B,103
048B,071B,124
048B,128B,141
048S,024S,408
048S,045S,156
048S,046S,342
048S,047S,675
048S,085S,104
048S,089S,152
048S,090S,101
048S,111S,206
048V,018V,114
048V,104V,176
049A,013A,112
049A,022A,617
049A,024A,356
049B,050B,104
049M,105M,111
049M,108M,109
049M,109M,474
049S,010S,370
049S,26CO,149
049S,56CO,151
049V,002V,132
049V,004V,107
04AS,29LU,215
04BA,02BA,111
04BA,05BA,147
04BA,50BA,353
04BI,23BI,197
04CA,27CA,184
04CE,01CE,439
04CE,03CE,209
04CE,05CE,147
04CO,05CO,115
04CR,28CR,114
04CÑ,69CÑ,188
04GP,53GP,105
04HU,05HU,121
04HU,40HU,145
04JA,06JA,128
04LU,03LU,204
04LU,05LU,491
04LU,34LU,137
04LU,35LU,235
04ME,06ME,239
04MU,18MU,116
04NA,05NA,101
04NA,56NA,109
04NA,61NA,145
04NA,65NA,141
04OU,29OU,111
04PO,05CÑ,187
04PO,58CÑ,115
04PO,66CÑ,227
04SG,25SG,157
04TA,52TA,154
04TF,22TF,238
04TF,35TF,122
04TO,06TO,126
04VA,41VA,153
04VI,13VI,131
04ZA,75ZA,106
050A,017A,105
050A,052A,101
050B,049B,114
050S,031S,107
050S,032S,153
050S,054S,159
050S,118S,231
050V,164V,138
051A,033A,267
051B,055B,135
051B,262B,160
051V,089V,197
052A,050A,108
052M,034M,165
052M,19GU,138
052S,072S,100
052S,112S,117
053B,041B,319
053B,043B,348
053M,065M,375
053M,075M,136
054A,008A,137
054A,086A,262
054B,048B,103
054S,020S,313
054S,032S,267
054S,050S,210
054V,096V,146
055A,36MU,226
055B,120B,104
055M,008M,139
055V,18AB,185
056A,030A,111
056A,049A,167
056B,055B,120
056B,101B,127
056B,118B,136
056B,120B,141
056M,030M,239
056V,16CS,286
057A,005A,122
057A,021A,126
057B,135B,101
057M,032M,118
057M,098M,124
057S,035S,105
057S,123S,142
057V,088V,131
057V,164V,118
058A,002A,563
058A,023A,175
058A,041A,106
058A,059A,112
058B,099B,441
058B,124B,100
058S,024S,427
058S,039S,257
059A,041A,104
059A,058A,111
059M,030M,114
059M,124M,159
059S,032S,143
059S,042S,101
059S,048S,115
059S,052S,102
059S,063S,165
059S,072S,538
059S,114S,239
059V,017V,115
059V,094V,126
059V,126V,131
05AS,31AS,128
05BA,04BA,127
05BI,25BI,173
05BU,06BU,209
05CE,01CE,212
05CE,04CE,203
05CE,06CE,161
05CO,02CO,205
05CO,12CO,198
05CO,20CO,121
05CR,19CR,307
05CÑ,04PO,210
05CÑ,61CÑ,313
05GC,10GC,442
05GC,33GC,647
05GI,01GI,124
05GR,45GR,123
05JA,30JA,105
05LE,41LE,106
05LE,44LE,120
05LU,04LU,324
05LU,34LU,298
05LU,35LU,197
05ME,06ME,278
05MU,26AL,203
05OU,03OU,140
05OU,31OU,180
05OU,32OU,268
05PO,14PO,231
05PO,17PO,231
05SA,03SA,100
05ZM,02ZM,111
060A,032A,337
060A,047A,394
060A,107A,247
060A,108A,162
060B,070B,497
060B,242B,148
060B,243B,369
060M,003M,116
060S,039S,116
060V,131V,212
061B,076B,142
061B,103B,100
061B,111B,138
061M,139M,109
061M,283M,163
061V,076V,101
062A,083A,530
062B,081B,167
062B,109B,321
062S,016S,154
062V,009V,111
063A,039A,265
063M,290M,938
063M,291M,588
063M,292M,336
063M,293M,277
063S,027S,109
